event_id,log,source,category,subcategory,description,sample,reference,how_to_collect,sample_type,mitre_techniques,priority_signal,acsc_ism_control,cis_control,disa_stig_id,nist_800_53_au,field_schema
1106,audit/USER,sshd (pam_unix),Logon/Logoff,Logoff,PAM session closed at the end of an SSH login,"Log Name:      audit/USER
Source:        sshd (pam_unix)
Event ID:      1106 (USER_END)
Level:         Information
Host:          bastion01.prod.example.org
Description:
A previously opened session was closed.
type=USER_END msg=audit(1732204800.030:50100): pid=8891 uid=0 auid=1000 ses=88
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:session_close grantors=pam_unix,pam_limits,pam_systemd acct=""mchen""
exe=""/usr/sbin/sshd"" hostname=203.0.113.44 addr=203.0.113.44 terminal=ssh res=success'",,Logoff,illustrative,,,0582,6.3.3.11; 6.3.3.12,RHEL-09-654250; RHEL-09-654255,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""acct"":""principal"",""hostname"":""string"",""addr"":""ip"",""terminal"":""string"",""res"":""enum""}}"
1112,audit/USER,login,Logon/Logoff,Logon,User has logged in at a local console (login(1)),"Log Name:      audit/USER
Source:        login
Event ID:      1112 (USER_LOGIN)
Level:         Information
Host:          web01.prod.example.org
Description:
login(1) recorded a successful interactive logon.
type=USER_LOGIN msg=audit(1732200500.040:48952): pid=15012 uid=0 auid=1000 ses=15
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=login id=1000 exe=""/usr/bin/login"" hostname=? addr=? terminal=tty2 res=success'",,Logon,illustrative,T1078,,0582,6.3.3.11; 6.3.3.12,RHEL-09-654250; RHEL-09-654255,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""terminal"":""string"",""res"":""enum""}}"
1113,audit/USER,login,Logon/Logoff,Logoff,User has logged out at a local console (login(1)),"Log Name:      audit/USER
Source:        login
Event ID:      1113 (USER_LOGOUT)
Level:         Information
Host:          web01.prod.example.org
Description:
login(1) recorded a session ending normally.
type=USER_LOGOUT msg=audit(1732204100.030:49901): pid=15012 uid=0 auid=1000 ses=15
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=logout id=1000 exe=""/usr/bin/login"" hostname=? addr=? terminal=tty2 res=success'",,Logoff,illustrative,,,0582,6.3.3.11; 6.3.3.12,RHEL-09-654250; RHEL-09-654255,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""terminal"":""string"",""res"":""enum""}}"
1124,audit/USER,sudo (pam_unix),Logon/Logoff,TTY Tracking,Controlling TTY recorded for a sudo session,"Log Name:      audit/USER
Source:        sudo (pam_unix)
Event ID:      1124 (USER_TTY)
Level:         Information
Host:          web01.prod.example.org
Description:
The keystrokes/TTY device associated with a privileged session were recorded for
later replay (e.g. with `aureport --tty`).
type=USER_TTY msg=audit(1732200011.230:48813): pid=18432 uid=1000 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='tty=/dev/pts/3 data=6C730D0A comm=""sudo""'",`data` is the hex-encoded keystrokes; decode with `aureport --tty` or `ausearch --tty`.,TTY Tracking,illustrative,,,,,,AU-3,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""comm"":""string""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""record"":{""tty"":""path"",""data"":""hex""}}"
1123,audit/USER,sudo,Privilege Use,Command Execution,A user ran a command as root (or another user) via sudo,"Log Name:      audit/USER
Source:        sudo
Event ID:      1123 (USER_CMD)
Level:         Notice
Host:          db01.prod.example.org
Description:
sudo logged the exact command that was authorized and about to be run.
type=USER_CMD msg=audit(1732200012.500:48814): pid=18432 uid=1000 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='cwd=""/home/jsmith"" cmd=737973746D6374 6C20726573746172742073736864
terminal=/dev/pts/3 res=success'","cmd= is hex-encoded; `systemctl restart sshd` in this sample decodes to ""systemctl restart sshd"".",Command Execution,illustrative,T1548.003,Yes,0582; 1546,6.3.3.1; 6.3.3.3,RHEL-09-654150,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""cwd"":""path"",""cmd"":""hex"",""terminal"":""path"",""res"":""enum""}}"
1322,audit/SYSCALL,kernel (capset),Privilege Use,Capability Use,A process explicitly set its capability set via capset(2),"Log Name:      audit/SYSCALL
Source:        kernel (capset)
Event ID:      1322 (CAPSET)
Level:         Notice
Host:          web01.prod.example.org
Description:
A process changed its own effective/permitted/inheritable capability sets — worth
reviewing whenever the resulting set includes something like CAP_SYS_ADMIN outside
of a known service's expected startup sequence.
type=CAPSET msg=audit(1732205000.100:50210): pid=22190 comm=""nginx""
cap_pi=0 cap_pp=3fffffffff cap_pe=3fffffffff cap_pa=0
frontier=400000000000",See the Linux capabilities reference table for what each bit in cap_pe/cap_pp/cap_pi means.,Capability Use,illustrative,T1548,,,,,"AU-2, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""comm"":""string""},""record"":{""cap_pi"":""hex"",""cap_pp"":""hex"",""cap_pe"":""hex"",""cap_pa"":""hex"",""frontier"":""hex""}}"
1114,audit/USER,useradd,Account Management,User Account,A new local user account was created,"Log Name:      audit/USER
Source:        useradd
Event ID:      1114 (ADD_USER)
Level:         Notice
Host:          web01.prod.example.org
Description:
A new user account was added to the local account database.
type=ADD_USER msg=audit(1732205500.200:50300): pid=25011 uid=0 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=adduser id=1010 exe=""/usr/sbin/useradd"" hostname=? addr=? terminal=/dev/pts/3
res=success'",,User Account,illustrative,T1136.001,Yes,0582,6.3.3.8,RHEL-09-654220; RHEL-09-654225; RHEL-09-654230; RHEL-09-654235; RHEL-09-654240; RHEL-09-654245,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""terminal"":""path"",""res"":""enum""}}"
1115,audit/USER,userdel,Account Management,User Account,A local user account was deleted,"Log Name:      audit/USER
Source:        userdel
Event ID:      1115 (DEL_USER)
Level:         Notice
Host:          web01.prod.example.org
Description:
A user account was removed from the local account database.
type=DEL_USER msg=audit(1732206000.200:50400): pid=25099 uid=0 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=deluser id=1005 exe=""/usr/sbin/userdel"" hostname=? addr=? terminal=/dev/pts/3
res=success'",,User Account,illustrative,T1531,,0582,6.3.3.8,RHEL-09-654220; RHEL-09-654225; RHEL-09-654230; RHEL-09-654235; RHEL-09-654240; RHEL-09-654245,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""terminal"":""path"",""res"":""enum""}}"
1125,audit/USER,usermod,Account Management,User Account,A user account's UID was changed,"Log Name:      audit/USER
Source:        usermod
Event ID:      1125 (CHUSER_ID)
Level:         Notice
Host:          web01.prod.example.org
Description:
A user's UID (or GID) was modified after account creation — unusual outside initial
provisioning, and worth investigating if it targets an existing, in-use account.
type=CHUSER_ID msg=audit(1732206100.200:50410): pid=25110 uid=0 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=modify-uid id=1010 old-id=1010 exe=""/usr/sbin/usermod"" hostname=? addr=?
terminal=/dev/pts/3 res=success'",,User Account,illustrative,,,0582,6.3.3.8,RHEL-09-654220; RHEL-09-654225; RHEL-09-654230; RHEL-09-654235; RHEL-09-654240; RHEL-09-654245,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""old_id"":""integer"",""terminal"":""path"",""res"":""enum""}}"
1116,audit/USER,groupadd,Account Management,Group Management,A new local group was created,"Log Name:      audit/USER
Source:        groupadd
Event ID:      1116 (ADD_GROUP)
Level:         Notice
Host:          web01.prod.example.org
Description:
A new group was added to the local group database.
type=ADD_GROUP msg=audit(1732206200.200:50420): pid=25130 uid=0 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=add-group id=1010 exe=""/usr/sbin/groupadd"" hostname=? addr=? terminal=/dev/pts/3
res=success'",,Group Management,illustrative,,,0582,6.3.3.8,RHEL-09-654220; RHEL-09-654225; RHEL-09-654230; RHEL-09-654235; RHEL-09-654240; RHEL-09-654245,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""terminal"":""path"",""res"":""enum""}}"
1117,audit/USER,groupdel,Account Management,Group Management,A local group was deleted,"Log Name:      audit/USER
Source:        groupdel
Event ID:      1117 (DEL_GROUP)
Level:         Notice
Host:          web01.prod.example.org
Description:
A group was removed from the local group database.
type=DEL_GROUP msg=audit(1732206300.200:50430): pid=25150 uid=0 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=del-group id=1010 exe=""/usr/sbin/groupdel"" hostname=? addr=? terminal=/dev/pts/3
res=success'",,Group Management,illustrative,,,0582,6.3.3.8,RHEL-09-654220; RHEL-09-654225; RHEL-09-654230; RHEL-09-654235; RHEL-09-654240; RHEL-09-654245,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""id"":""integer"",""terminal"":""path"",""res"":""enum""}}"
1132,audit/USER,usermod,Account Management,Group Management,A user was added to a privileged group (e.g. sudo/wheel),"Log Name:      audit/USER
Source:        usermod
Event ID:      1132 (GRP_MGMT)
Level:         Warning
Host:          web01.prod.example.org
Description:
A user's group membership was changed — here, added to the `sudo` group, granting
them the ability to run privileged commands. The single highest-value account-
management event to alert on in this catalogue.
type=GRP_MGMT msg=audit(1732206400.200:50440): pid=25170 uid=0 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=add-supplementary-group grp=sudo acct=""rjones"" exe=""/usr/sbin/usermod""
hostname=? addr=? terminal=/dev/pts/3 res=success'",,Group Management,illustrative,T1098; T1548.003,Yes,0582,6.3.3.8,RHEL-09-654220; RHEL-09-654225; RHEL-09-654230; RHEL-09-654235; RHEL-09-654240; RHEL-09-654245,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""grp"":""string"",""acct"":""principal"",""terminal"":""path"",""res"":""enum""}}"
1300,audit/SYSCALL,kernel (execve),Detailed Tracking,Process Execution,A new process was created via execve() (paired with EXECVE/CWD/PROCTITLE/EOE),"Log Name:      audit/SYSCALL
Source:        kernel (execve)
Event ID:      1300 (SYSCALL)
Level:         Information
Host:          db01.prod.example.org
Description:
The kernel-level record of a monitored system call — here, execve(), the Linux
analogue of Windows Event ID 4688 (process creation). Always emitted together with
an EXECVE record (arguments), a CWD record, a PROCTITLE record, and an EOE record
closing the group, all sharing the same audit(...) timestamp:serial pair.
type=SYSCALL msg=audit(1732207000.300:50600): arch=c000003e syscall=59 success=yes
exit=0 a0=55a1e2f3c0d0 a1=55a1e2f3c120 a2=55a1e2f3c1a0 a3=0 items=2 ppid=18432
pid=25400 auid=1000 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts3
ses=12 comm=""systemctl"" exe=""/usr/bin/systemctl""
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023 key=""exec""","Companion records: EXECVE (arguments), PROCTITLE (raw cmdline), EOE (end marker).",Process Execution,illustrative,T1059,,,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""ppid"":""integer"",""comm"":""string"",""exe"":""path"",""tty"":""string""},""subject"":{""auid"":""integer"",""uid"":""integer"",""gid"":""integer"",""euid"":""integer"",""suid"":""integer"",""fsuid"":""integer"",""egid"":""integer"",""sgid"":""integer"",""fsgid"":""integer"",""ses"":""integer"",""subj"":""string""},""syscall"":{""arch"":""hex"",""syscall"":""integer"",""success"":""enum"",""exit"":""integer"",""items"":""integer"",""key"":""string""}}"
1309,audit/SYSCALL,kernel (execve),Detailed Tracking,Process Arguments,The argument list passed to an audited execve() call,"Log Name:      audit/SYSCALL
Source:        kernel (execve)
Event ID:      1309 (EXECVE)
Level:         Information
Host:          db01.prod.example.org
Description:
Companion record to SYSCALL: the argv[] array the process was launched with.
type=EXECVE msg=audit(1732207000.300:50600): argc=3 a0=""systemctl"" a1=""restart""
a2=""sshd""",Shares the audit(...) timestamp:serial with its parent SYSCALL record.,Process Arguments,illustrative,T1059,,,,,AU-3,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""record"":{""argc"":""integer"",""a0"":""string"",""a1"":""string"",""a2"":""string""}}"
1327,audit/SYSCALL,kernel (execve),Detailed Tracking,Process Command Line,"The full raw command line of an audited process, as one string","Log Name:      audit/SYSCALL
Source:        kernel (execve)
Event ID:      1327 (PROCTITLE)
Level:         Information
Host:          db01.prod.example.org
Description:
Companion record to SYSCALL: /proc/pid/cmdline captured at exec time, hex-encoded.
type=PROCTITLE msg=audit(1732207000.300:50600):
proctitle=73797374656D6374 6C007265737461727400737368 64","Hex-decodes to ""systemctl restart sshd"" — decode with `ausearch -i` rather than by hand.",Process Command Line,illustrative,T1059,,,,,AU-3,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""record"":{""proctitle"":""hex""}}"
1320,audit/SYSCALL,kernel (audit),Detailed Tracking,Process Execution,Marks the end of a multi-record audit event,"Log Name:      audit/SYSCALL
Source:        kernel (audit)
Event ID:      1320 (EOE)
Level:         Information
Host:          db01.prod.example.org
Description:
Closes out a group of related records (e.g. SYSCALL+EXECVE+CWD+PROCTITLE) that
share the same audit(...) timestamp:serial pair — tools like ausearch use this to
know a logical ""event"" is complete.
type=EOE msg=audit(1732207000.300:50600):",,Process Execution,illustrative,,,,,,AU-3,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""record"":{}}"
