record_type,explanation
NETFILTER_CFG,Netfilter (iptables/nftables) configuration change
NETFILTER_PKT,Netfilter packet decision
OBJ_PID,"Information about a target process (used with kill, ptrace, etc.)"
PATH,File-name / path information (one record per path argument)
PROCTITLE,Full process title / command line (hex-encoded)
RESP_ACCT_LOCK,Response: account locked
RESP_ACCT_LOCK_TIMED,Response: account locked for a time
RESP_ACCT_REMOTE,Response: account access from remote host
RESP_ACCT_UNLOCK_TIMED,Response: account unlocked after time
RESP_ANOMALY,Response to an anomaly
RESP_EXEC,Response: execute a program
RESP_HALT,Response: system halt
RESP_ORIGINS,Response origin information
RESP_SEBOOL,Response: SELinux boolean changed
ROLE_ASSIGN,Role assigned to a user
ROLE_REMOVE,Role removed from a user
SELINUX_ERR,SELinux error
SERVICE_START,systemd service started
SERVICE_STOP,systemd service stopped
SOCKADDR,Socket address (struct sockaddr)
SOCKETCALL,Arguments of the socketcall multiplexer
SOFTWARE_UPDATE,Software update / package event
SYSCALL,System-call event (the primary record for most rules)
SYSTEM_BOOT,System boot
SYSTEM_RUNLEVEL,System run-level change
SYSTEM_SHUTDOWN,System shutdown
TEST,Test record (internal)
TRUSTED_APP,Trusted application message
TTY,Administrative TTY input
USER,Generic user-space message
USER_ACCT,User-space account authorization
USER_AUTH,User-space authentication
USER_AVC,User-space AVC message
USER_CHAUTHTOK,User changed authentication token (password/PIN)
USER_CMD,User command execution (from pam_tty_audit / similar)
USER_DEVICE,User-space hotplug / device event
USER_END,User session ended
USER_ERR,User-space error
USER_LABEL,User label change
USER_LOGIN,User logged in
USER_LOGOUT,User logged out
USER_MGMT,User account attribute change
USER_ROLE_CHANGE,User role change
USER_SELINUX_ERR,User-space SELinux error
USER_START,User session started
USER_TTY,Non-ICANON TTY input
USYS_CONFIG,User-space system configuration change
VIRT_CONTROL,Virtualization control operation
VIRT_MACHINE_ID,Virtual machine identity
VIRT_RESOURCE,"Virtual resource assignment (disk, memory, net, vCPU)"
VIRT_ROLE,Virtualization role change
