field,format,explanation,cim_potential_name,supported_cim_field,cim_data_model_category,splunk_app
resrc,alphanumeric,Resource being assigned.,,,,
role,alphanumeric,User’s SELinux role.,,,,
rport,numeric,Remote port number.,,,,
saddr,encoded,Socket address structure (often hex-encoded).,src / dest / src_ip / dest_ip,src / dest,Network_Traffic,TA-linux_auditd / custom
sauid,numeric,Sender’s Audit UID (provided by D-Bus).,user / src_user,user,Authentication,"Splunk Add-on for Linux, TA-linux_auditd"
scontext,alphanumeric,Subject’s SELinux context string.,,,,
selected-context,alphanumeric,New MAC context assigned to a session.,,,,
seperm,alphanumeric,SELinux permission being decided on.,,,,
seqno,numeric,Sequence number.,,,,
seperms,alphabet,SELinux permissions being used.,,,,
seresult,alphabet,SELinux AVC decision (granted / denied).,,,,
ses,numeric,Session ID from which the process was started.,session_id,—,Authentication,TA-linux_auditd / custom
seuser,alphanumeric,User’s SELinux user account.,,,,
sgid,numeric,Set-Group-ID of the process.,user,user,"Authentication, Change","Splunk Add-on for Linux, TA-linux_auditd"
sig / sigev_signo,numeric,Signal number that caused abnormal termination.,action,—,Endpoint (Processes),TA-linux_auditd / custom
smac,numeric,Local MAC address.,,,,
spid,numeric,Sent process ID.,,,,
sport,numeric,Local port number.,,,,
state,alphanumeric,Resulting state of the audit daemon configuration.,,,,
subj,alphanumeric,SELinux context of the subject (the actor).,user / src_user,user,"Authentication, Change",TA-linux_auditd / custom
subj_clr,alphanumeric,SELinux clearance of the subject.,user / src_user,user,"Authentication, Change",TA-linux_auditd / custom
subj_role,alphanumeric,SELinux role of the subject.,user / src_user,user,"Authentication, Change",TA-linux_auditd / custom
subj_sen,alphanumeric,SELinux sensitivity of the subject.,user / src_user,user,"Authentication, Change",TA-linux_auditd / custom
subj_type,alphanumeric,SELinux type of the subject.,user / src_user,user,"Authentication, Change",TA-linux_auditd / custom
subj_user,alphanumeric,SELinux user associated with the subject.,user / src_user,user,"Authentication, Change",TA-linux_auditd / custom
success,alphanumeric,Whether the system call succeeded (yes) or failed (no).,action / status,action (success/failure),"Authentication, Change, Endpoint","Splunk Add-on for Linux, TA-linux_auditd"
suid,numeric,Set-User-ID of the process.,user,user,"Authentication, Change","Splunk Add-on for Linux, TA-linux_auditd"
syscall,numeric,Numeric system-call number that was executed.,process / command,—,Endpoint (Processes),TA-linux_auditd / custom
table,alphanumeric,Netfilter table name.,,,,
tclass,alphanumeric,Target’s object classification.,,,,
tcontext,alphanumeric,Target’s / object’s SELinux context string.,,,,
terminal,alphanumeric,Terminal name (without /dev/).,src / src_nt_host,—,Authentication,TA-linux_auditd / custom
tty,alphanumeric,Controlling terminal device. Value (none) means no controlling terminal.,src / src_nt_host,—,Authentication,TA-linux_auditd / custom
type,alphanumeric,"The audit record’s type (SYSCALL, PATH, EXECVE, AVC, etc.).",vendor_action / signature,vendor_action,"Change, Endpoint, Intrusion_Detection",TA-linux_auditd
uid,numeric,Real User ID of the process.,user / src_user,user,"Authentication, Change, Endpoint","Splunk Add-on for Linux, TA-linux_auditd"
unit,alphanumeric,systemd unit name.,,,,
uri,alphanumeric,URI pointing to a printer.,,,,
user,alphanumeric,Account submitted for authentication.,,,,
uuid,alphanumeric,A UUID.,,,,
val,alphanumeric / numeric,Generic value associated with the operation (or new SELinux boolean value).,,,,
ver,numeric,Audit daemon’s version number.,,,,
virt,alphanumeric,Kind of virtualization being referenced.,,,,
vm,encoded,Name of the virtual machine from which the event originated.,dest / dest_host,dest,"Change, Inventory",TA-linux_auditd / custom
vm-ctx,alphanumeric,VM’s context string.,,,,
vm-pid,numeric,VM’s process ID.,,,,
watch,encoded,File name in a watch record.,,,,
