rule_id,category_no,category,title,auditd_rule,audit_key,description,cis_ref,disa_stig_ref,acsc_ism_alignment,form
03-02,3,System Identity,Hostname file,-w /etc/hostname -p wa -k system_identity,system_identity,Detect persistent hostname modification.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",System integrity,table
03-03,3,System Identity,Hosts file,-w /etc/hosts -p wa -k network_config,network_config,Detect local DNS/host mapping modification.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",Network/security configuration,table
03-04,3,System Identity,Network identity,-w /etc/sysconfig/network -p wa -k network_config,network_config,Detect legacy RHEL network configuration modification.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",Network configuration,table
03-05,3,System Identity,Machine ID,-w /etc/machine-id -p wa -k system_identity,system_identity,Detect manipulation of machine identity.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",Asset/system identity integrity,table
03-06,3,System Identity,Login banner (`/etc/issue`),-w /etc/issue -p wa -k system_locale,system_locale,Detect changes to local login/security banner.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",System configuration; administrative control,table
03-07,3,System Identity,Remote login banner (`/etc/issue.net`),-w /etc/issue.net -p wa -k system_locale,system_locale,Detect changes to remote login/security banner.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",System configuration; administrative control,table
04-01,4,Date and Time,Time Change,"-a always,exit -F arch=b64 -S adjtimex,settimeofday -k time_change",time_change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-02,4,Date and Time,Time Change,"-a always,exit -F arch=b64 -S clock_settime -F a0=0 -k time_change",time_change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-03,4,Date and Time,Time Change,"-a always,exit -F arch=b32 -S adjtimex,settimeofday -k time_change",time_change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-04,4,Date and Time,Time Change,"-a always,exit -F arch=b32 -S clock_settime -F a0=0 -k time_change",time_change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-05,4,Date and Time,Time Change,-w /etc/localtime -p wa -k time_change,time_change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-06,4,Date and Time,Time Sync,-w /etc/chrony.conf -p wa -k time_sync,time_sync,Additional time synchronization monitoring,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-07,4,Date and Time,Time Sync,-w /etc/chrony.keys -p wa -k time_sync,time_sync,Additional time synchronization monitoring,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-08,4,Date and Time,Time Sync,-w /etc/ntp.conf -p wa -k time_sync,time_sync,For systems using NTP,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-09,4,Date and Time,Time Change,"-a always,exit -F arch=b64 -S adjtimex,settimeofday,clock_settime -k time-change",time-change,CIS canonical form,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-10,4,Date and Time,Time Change,"-a always,exit -F arch=b32 -S adjtimex,settimeofday,clock_settime -k time-change",time-change,CIS canonical form,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-11,4,Date and Time,Time Change,-w /etc/localtime -p wa -k time-change,time-change,CIS canonical form,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,code_block
04-12,4,Date and Time,Time Change,"-a always,exit -F arch=b32 -S adjtimex,settimeofday,stime -F key=time-change",time-change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,stig_canonical
04-13,4,Date and Time,Time Change,"-a always,exit -F arch=b64 -S adjtimex,settimeofday -F key=time-change",time-change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,stig_canonical
04-14,4,Date and Time,Time Change,"-a always,exit -F arch=b32 -S clock_settime -F a0=0x0 -F key=time-change",time-change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,stig_canonical
04-15,4,Date and Time,Time Change,"-a always,exit -F arch=b64 -S clock_settime -F a0=0x0 -F key=time-change",time-change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,stig_canonical
04-16,4,Date and Time,Time Change,"-a always,exit -F arch=b32 -F path=/etc/localtime -F perm=wa -F key=time-change",time-change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,stig_canonical
04-17,4,Date and Time,Time Change,"-a always,exit -F arch=b64 -F path=/etc/localtime -F perm=wa -F key=time-change",time-change,,6.3.3.4 — Ensure events that modify date and time information are collected.,"aligns with `30-stig.rules` time-change auditing (`adjtimex`, `settimeofday`, `clock_settime`, `/etc/localtime`).",CIS audit time-change controls; DISA STIG audit time-change requirements; ACSC/ISM event logging and timestamp integrity.,stig_canonical
05-01,5,User and Group Account Management,Identity,-w /etc/passwd -p wa -k identity,identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-02,5,User and Group Account Management,Identity,-w /etc/shadow -p wa -k identity,identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-03,5,User and Group Account Management,Identity,-w /etc/group -p wa -k identity,identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-04,5,User and Group Account Management,Identity,-w /etc/gshadow -p wa -k identity,identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-05,5,User and Group Account Management,Identity,-w /etc/security/opasswd -p wa -k identity,identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-06,5,User and Group Account Management,Account Management,-w /usr/sbin/useradd -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-07,5,User and Group Account Management,Account Management,-w /usr/sbin/userdel -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-08,5,User and Group Account Management,Account Management,-w /usr/sbin/usermod -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-09,5,User and Group Account Management,Account Management,-w /usr/sbin/groupadd -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-10,5,User and Group Account Management,Account Management,-w /usr/sbin/groupdel -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-11,5,User and Group Account Management,Account Management,-w /usr/sbin/groupmod -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-12,5,User and Group Account Management,Account Management,-w /usr/bin/passwd -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-13,5,User and Group Account Management,Account Management,-w /usr/bin/chage -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-14,5,User and Group Account Management,Account Management,-w /usr/bin/gpasswd -p x -k account_management,account_management,Account-management binaries,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",code_block
05-15,5,User and Group Account Management,Identity,"-a always,exit -F arch=b32 -F path=/etc/group -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-16,5,User and Group Account Management,Identity,"-a always,exit -F arch=b64 -F path=/etc/group -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-17,5,User and Group Account Management,Identity,"-a always,exit -F arch=b32 -F path=/etc/passwd -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-18,5,User and Group Account Management,Identity,"-a always,exit -F arch=b64 -F path=/etc/passwd -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-19,5,User and Group Account Management,Identity,"-a always,exit -F arch=b32 -F path=/etc/gshadow -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-20,5,User and Group Account Management,Identity,"-a always,exit -F arch=b64 -F path=/etc/gshadow -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-21,5,User and Group Account Management,Identity,"-a always,exit -F arch=b32 -F path=/etc/shadow -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-22,5,User and Group Account Management,Identity,"-a always,exit -F arch=b64 -F path=/etc/shadow -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-23,5,User and Group Account Management,Identity,"-a always,exit -F arch=b32 -F path=/etc/security/opasswd -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
05-24,5,User and Group Account Management,Identity,"-a always,exit -F arch=b64 -F path=/etc/security/opasswd -F perm=wa -F key=identity",identity,,6.3.3.8 — Ensure events that modify user/group information are collected.,RHEL-09-654220 / 654225 / 654230 / 654235 / 654240 / 654245 — audit changes to passwd/group/shadow/gshadow/opasswd identity stores.,"CIS identity-change auditing; DISA STIG account-change auditing; ACSC/ISM identity, authentication and privileged-access monitoring.",stig_canonical
06-01,6,Authentication Configuration,Authentication,-w /etc/pam.d/ -p wa -k authentication,authentication,,,,"authentication controls, privileged access, security configuration.",code_block
06-02,6,Authentication Configuration,Authentication,-w /etc/security/ -p wa -k authentication,authentication,,,,"authentication controls, privileged access, security configuration.",code_block
06-03,6,Authentication Configuration,Authentication,-w /etc/login.defs -p wa -k authentication,authentication,,,,"authentication controls, privileged access, security configuration.",code_block
06-04,6,Authentication Configuration,Authentication,-w /etc/nsswitch.conf -p wa -k authentication,authentication,,,,"authentication controls, privileged access, security configuration.",code_block
06-05,6,Authentication Configuration,Authentication,-w /etc/authselect/ -p wa -k authentication,authentication,For modern RHEL authselect,,,"authentication controls, privileged access, security configuration.",code_block
07-01,7,SSH Security,Ssh Config,-w /etc/ssh/sshd_config -p wa -k ssh_config,ssh_config,,,,,code_block
07-02,7,SSH Security,Ssh Config,-w /etc/ssh/sshd_config.d/ -p wa -k ssh_config,ssh_config,,,,,code_block
07-03,7,SSH Security,Ssh Config,-w /etc/ssh/ssh_config -p wa -k ssh_config,ssh_config,,,,,code_block
07-04,7,SSH Security,Ssh Config,-w /etc/ssh/ssh_config.d/ -p wa -k ssh_config,ssh_config,,,,,code_block
07-05,7,SSH Security,Ssh Keys,-w /root/.ssh/ -p wa -k ssh_keys,ssh_keys,Root SSH keys,,,,code_block
07-06,7,SSH Security,Remote Access,-w /usr/bin/ssh -p x -k remote_access,remote_access,Useful executable monitoring,,,,code_block
07-07,7,SSH Security,Remote Access,-w /usr/bin/scp -p x -k remote_access,remote_access,Useful executable monitoring,,,,code_block
07-08,7,SSH Security,Remote Access,-w /usr/bin/sftp -p x -k remote_access,remote_access,Useful executable monitoring,,,,code_block
08-01,8,sudo and Privilege Escalation,Sudo Config,-w /etc/sudoers -p wa -k sudo_config,sudo_config,,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",code_block
08-02,8,sudo and Privilege Escalation,Sudo Config,-w /etc/sudoers.d/ -p wa -k sudo_config,sudo_config,,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",code_block
08-03,8,sudo and Privilege Escalation,Privilege Escalation,-w /usr/bin/sudo -p x -k privilege_escalation,privilege_escalation,Execution,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",code_block
08-04,8,sudo and Privilege Escalation,Privilege Escalation,-w /usr/bin/su -p x -k privilege_escalation,privilege_escalation,Execution,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",code_block
08-05,8,sudo and Privilege Escalation,Sudo Activity,-w /var/log/sudo-io/ -p wa -k sudo_activity,sudo_activity,Optional sudo I/O logs,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",code_block
08-06,8,sudo and Privilege Escalation,Actions,"-a always,exit -F arch=b32 -F path=/etc/sudoers -F perm=wa -F key=actions",actions,,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-07,8,sudo and Privilege Escalation,Actions,"-a always,exit -F arch=b64 -F path=/etc/sudoers -F perm=wa -F key=actions",actions,,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-08,8,sudo and Privilege Escalation,Actions,"-a always,exit -F arch=b32 -F dir=/etc/sudoers.d/ -F perm=wa -F key=actions",actions,,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-09,8,sudo and Privilege Escalation,Actions,"-a always,exit -F arch=b64 -F dir=/etc/sudoers.d/ -F perm=wa -F key=actions",actions,,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-10,8,sudo and Privilege Escalation,Priv Cmd,"-a always,exit -F path=/usr/bin/sudo -F perm=x -F auid>=1000 -F auid!=unset -k priv_cmd",priv_cmd,Selected privileged-command STIG rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-11,8,sudo and Privilege Escalation,Privileged,"-a always,exit -F path=/usr/bin/su -F perm=x -F auid>=1000 -F auid!=unset -k privileged",privileged,Selected privileged-command STIG rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
